Country;Site;Place;Plot;Subplot;X;Y;Z;Z.Classe;Date;Species;LLS;HT;Age.Classe;B;B.pour;H;D;Pourc.shrubs;Pourc.herbs;Faeces;Livestock;Notes;Ungulate.species;Ungulate.data.sources;Tags.France;plot_disturb;Dead;Height;Age;Length.last.shoot;Prec;Tmean;Tmean456;prec1;prec2;prec3;prec4;prec5;prec6;prec7;prec8;prec9;prec10;prec11;prec12;tmin1;tmin2;tmin3;tmin4;tmin5;tmin6;tmin7;tmin8;tmin9;tmin10;tmin11;tmin12;tmax1;tmax2;tmax3;tmax4;tmax5;tmax6;tmax7;tmax8;tmax9;tmax10;tmax11;tmax12;tmean1;tmean2;tmean3;tmean4;tmean5;tmean6;tmean7;tmean8;tmean9;tmean10;tmean11;tmean12;Press.ong;Kg.IM.100ha;Kg.CS.100ha;tm_new_dec;tm_new_jan;tm_new_fev
France;Chartreuse;;1C1;.4.3;5.736802205;45.32450613;1182;2;2010;ACPS;2.8;26.3;6;1;;8.75;;14;8;;;;;;;;0;26.3;6;2.8;1169.50588;2.708885933;4.342640333;99.43291;92.6927;102.4917;87.15612;106.5576;103.7998;75.84003;90.30266;96.33666;102.0451;104.6699;108.1807;-5.793226;-5.090988;-2.12522;0.8449838;4.465537;7.726285;9.766655;9.437445;7.290916;3.201197;-0.8248175;-4.395025;1.5469274;2.871694;7.157051;10.43813;14.64311;18.35428;21.14808;20.4313;17.21134;11.72296;6.158798;2.146066;-2.1231493;-1.109647;0.6819125;2.322452;4.424942;6.280527;7.677427;7.319037;5.709057;2.964867;0.182786;-1.82358;-0.24;382.5075;4.62;-1.22358;-3.7231493;-1.209647
France;Chartreuse;;1C2;.4.3;5.736402166;45.32440615;1441;3;2010;FASY;0.5;8.6;6;1;;2.5;;22;17;;;;;;1C2_.4.3_FASY_b2;;0;8.6;6;0.5;1253.71163;1.486754154;3.014888333;110.35167;99.87904;110.4738;92.8308;113.6777;111.1567;81.51352;94.88946;100.67414;108.5146;110.4598;119.2904;-6.750812;-6.161809;-3.318686;-0.41189;3.222887;6.487628;8.611079;8.315113;6.192285;2.186195;-1.8349952;-5.329046;0.4235687;1.444276;5.404647;8.673756;12.94161;16.7264;19.53909;18.85543;15.69174;10.3528;4.92497;1.124553;-3.16362165;-2.3587665;-0.6730825;0.961472;3.095399;4.987794;6.394139;6.052309;4.470464;1.800994;-0.912921;-2.8131295;-0.24;382.5075;4.62;-2.2131295;-4.76362165;-2.4587665
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;ACPS;0.6;5.3;2;1;;;;31;20;;;;;;1C3_.4.3_ACPS_b1;;0;5.3;2;0.6;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;ACPS;1.2;7.1;2;0;;;;31;20;;;;;;1C3_.4.3_ACPS_b2;;0;7.1;2;1.2;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;ACPS;1.3;7.3;2;0;;;;31;20;;;;;;1C3_.4.3_ACPS_b3;;0;7.3;2;1.3;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;ACPS;1;7.1;2;0;;;;31;20;;;;;;1C3_.4.3_ACPS_b4;;0;7.1;2;1;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;ACPS;1.4;6.5;2;0;;;;31;20;;;;;;;;0;6.5;2;1.4;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;ACPS;1.4;7.2;2;0;;;;31;20;;;;;;;;0;7.2;2;1.4;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;FASY;1.1;18;6;0;;;;31;20;;;;;;1C3_.4.3_FASY_b1;;0;18;6;1.1;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
France;Chartreuse;;1C3;.4.3;5.736302189;45.32390621;1441;3;2010;ACPS;6.1;6.1;1;0;;2.5;;31;20;;;;;;1C3_.4.3_ACPS_b5;;0;6.1;1;6.1;1253.60432;1.487027604;3.014984;110.33684;99.86746;110.4615;92.82408;113.6701;111.1469;81.50247;94.88177;100.6689;108.5126;110.4548;119.2769;-6.750224;-6.161407;-3.318284;-0.41172;3.223059;6.487889;8.611428;8.315467;6.192576;2.186426;-1.8346856;-5.328549;0.4240205;1.444595;5.404559;8.673386;12.94113;16.72606;19.53882;18.85519;15.69153;10.35282;4.925302;1.125121;-3.16310175;-2.358406;-0.6728325;0.961581;3.095453;4.987918;6.394298;6.052483;4.470653;1.801298;-0.912461;-2.8125515;-0.24;382.5075;4.62;-2.2125515;-4.76310175;-2.458406
